date,account_value
2019-07-05,1225185.1885600002
2019-07-08,1205729.8224100003
2019-07-09,1213028.0073400002
2019-07-10,1225418.7630800002
2019-07-11,1210314.8286300004
2019-07-12,1232134.2723100001
2019-07-15,1220434.7973300002
2019-07-16,1202690.7698400002
2019-07-17,1214555.7610200003
2019-07-18,1220723.1450600002
2019-07-19,1227197.6599900003
2019-07-22,1234372.93091
2019-07-23,1233312.9796800003
2019-07-24,1229460.1569300003
2019-07-25,1260304.8673200002
2019-07-26,1274423.9545900002
2019-07-29,1273466.16874
2019-07-30,1263629.2036000004
2019-07-31,1243272.0738100002
2019-08-01,1232601.5996400004
2019-08-02,1231059.9562700002
2019-08-05,1195380.8123500003
2019-08-06,1189574.1787000003
2019-08-07,1190420.4691600003
2019-08-08,1215362.47873
2019-08-09,1206691.8972300002
2019-08-12,1224417.26591
2019-08-13,1215774.7825400003
2019-08-14,1226374.77845
2019-08-15,1234818.1883900003
2019-08-16,1276161.4562800003
2019-08-19,1276460.0028288001
2019-08-20,1262922.1904288002
2019-08-21,1278565.9528288
2019-08-22,1300107.9068288
2019-08-23,1321940.8648288
2019-08-26,1316633.8708288001
2019-08-27,1326639.8136288002
2019-08-28,1297985.1092288
2019-08-29,1282065.6588288
2019-08-30,1274332.6104288003
2019-09-02,1292678.1152288003
2019-09-03,1273271.2116288
2019-09-04,1272816.3264288001
2019-09-05,1279639.6044288
2019-09-06,1303898.6168288002
2019-09-09,1289040.5652288
2019-09-10,1279639.6044288
2019-09-11,1246284.4196288004
2019-09-12,1260839.2144288002
2019-09-16,1255382.1236288003
2019-09-17,1243858.3652288003
2019-09-18,1254927.2384288001
2019-09-19,1242038.8244288
2019-09-20,1232032.8816288002
2019-09-23,1222783.5492288002
2019-09-24,1211261.3224288002
2019-09-25,1223238.4344288001
2019-09-26,1218236.2288288001
2019-09-27,1211867.8360288
2019-09-30,1209593.4100288001
2019-10-08,1179270.7932288
2019-10-09,1184577.7872288001
2019-10-10,1220207.3980288003
2019-10-11,1216871.5732288002
2019-10-14,1201255.3796288
